date,temperature,dewpoint,humidity,pressure,visibility,windspeed,precipitation,rain,winddirection
2004-04-28,13.0,8.0,71.0,1004,9.0,6,0.0,1,134
2004-04-29,11.0,6.0,73.0,1002,10.0,6,0.0,1,342
2004-04-30,10.0,0.0,50.0,1004,10.0,16,0.0,0,288
2004-05-01,10.0,4.0,71.0,1007,10.0,18,0.0,1,216
2004-05-02,8.0,6.0,86.0,1005,9.0,6,0.0,1,26
2004-05-03,11.0,6.0,77.0,1001,10.0,18,0.0,1,25
2004-05-04,11.0,2.0,54.0,1004,10.0,18,0.0,0,324
2004-05-05,11.0,4.0,64.0,1001,10.0,26,0.0,1,269
2004-05-06,10.0,1.0,52.0,1007,10.0,24,0.0,1,287
2004-05-07,10.0,-1.0,49.0,1012,10.0,19,0.0,0,306
2004-05-08,9.0,-2.0,45.0,1016,10.0,8,0.0,0,47
2004-05-09,10.0,3.0,63.0,1012,10.0,10,0.0,1,257
2004-05-10,13.0,8.0,81.0,1009,10.0,6,0.0,1,126
2004-05-11,10.0,8.0,82.0,1012,10.0,16,0.0,1,42
2004-05-12,12.0,8.0,76.0,1015,10.0,10,0.0,1,11
2004-05-13,13.0,5.0,63.0,1017,10.0,10,0.0,0,38
2004-05-14,13.0,4.0,55.0,1019,10.0,8,0.0,0,50
2004-05-15,14.0,6.0,58.0,1022,10.0,5,0.0,0,63
2004-05-16,14.0,7.0,58.0,1021,10.0,5,0.0,0,2
2004-05-17,17.0,7.0,57.0,1019,10.0,5,0.0,0,24
2004-05-18,17.0,8.0,58.0,1024,10.0,5,0.0,0,173
2004-05-19,17.0,6.0,49.0,1025,10.0,6,0.0,0,137
2004-05-20,17.0,5.0,47.0,1020,10.0,6,0.0,0,140
2004-05-21,16.0,8.0,61.0,1015,10.0,6,0.0,1,254
2004-05-22,16.0,11.0,79.0,1014,10.0,5,0.0,1,33
2004-05-23,16.0,11.0,76.0,1015,10.0,6,0.0,1,30
2004-05-24,16.0,11.0,84.0,1017,9.0,5,0.0,1,70
2004-05-25,16.0,12.0,85.0,1018,10.0,5,0.0,1,66
2004-05-26,16.0,11.0,77.0,1018,10.0,5,0.0,0,18
2004-05-27,16.0,11.0,73.0,1020,10.0,5,0.0,1,42
2004-05-28,17.0,11.0,67.0,1023,10.0,5,0.0,0,310
2004-05-29,19.0,12.0,68.0,1023,10.0,5,0.0,1,93
2004-05-30,19.0,12.0,62.0,1022,10.0,6,0.0,0,292
2004-05-31,20.0,11.0,57.0,1022,10.0,5,0.0,0,344
2004-06-01,21.0,11.0,52.0,1022,10.0,5,0.0,0,1
2004-06-02,22.0,12.0,49.0,1022,10.0,8,0.0,0,7
2004-06-03,19.0,4.0,38.0,1023,10.0,6,0.0,0,19
2004-06-04,20.0,5.0,37.0,1020,10.0,6,0.0,0,29
2004-06-05,22.0,8.0,44.0,1016,10.0,5,0.0,0,344
2004-06-06,23.0,8.0,40.0,1013,10.0,6,0.0,0,17
2004-06-07,21.0,14.0,67.0,1018,10.0,6,0.0,1,117
2004-06-08,21.0,13.0,60.0,1021,10.0,6,0.0,0,67
2004-06-09,22.0,9.0,45.0,1023,10.0,5,0.0,0,173
2004-06-10,23.0,11.0,46.0,1023,10.0,6,0.0,0,131
2004-06-11,23.0,12.0,49.0,1022,10.0,5,0.0,0,14
2004-06-12,23.0,12.0,51.0,1021,10.0,6,0.0,0,27
2004-06-13,22.0,8.0,47.0,1022,10.0,11,0.0,0,58
2004-06-14,20.0,2.0,36.0,1022,10.0,18,0.0,0,47
2004-06-15,18.0,5.0,43.0,1021,10.0,10,0.0,0,42
2004-06-16,21.0,7.0,43.0,1020,10.0,6,0.0,0,24
2004-06-17,22.0,7.0,39.0,1018,10.0,6,0.0,0,7
2004-06-18,23.0,5.0,34.0,1014,10.0,6,0.0,0,297
2004-06-19,21.0,9.0,46.0,1011,10.0,16,0.0,1,300
2004-06-20,20.0,6.0,43.0,1012,10.0,13,0.0,0,332
2004-06-21,19.0,6.0,42.0,1015,10.0,8,0.0,0,272
2004-06-22,23.0,8.0,40.0,1017,10.0,10,0.0,0,239
2004-06-23,23.0,10.0,44.0,1019,10.0,11,0.0,0,234
2004-06-24,24.0,11.0,43.0,1018,10.0,5,0.0,0,262
2004-06-25,26.0,12.0,42.0,1017,10.0,6,0.0,0,274
2004-06-26,27.0,11.0,39.0,1019,10.0,6,0.0,0,255
2004-06-27,29.0,8.0,30.0,1021,10.0,6,0.0,0,298
2004-06-28,29.0,8.0,28.0,1022,10.0,10,0.0,0,316
2004-06-29,29.0,8.0,30.0,1021,10.0,8,0.0,0,319
2004-06-30,28.0,3.0,24.0,1018,10.0,8,0.0,0,303
2004-07-01,26.0,4.0,24.0,1017,10.0,6,0.0,0,293
2004-07-02,26.0,6.0,30.0,1018,10.0,6,0.0,0,360
2004-07-03,26.0,9.0,37.0,1019,10.0,11,0.0,0,9
2004-07-04,27.0,7.0,33.0,1018,10.0,6,0.0,0,265
2004-07-05,27.0,6.0,28.0,1016,10.0,10,0.0,0,238
2004-07-06,24.0,14.0,57.0,1013,9.0,11,0.0,1,133
2004-07-07,19.0,5.0,39.0,1014,10.0,23,0.0,0,235
2004-07-08,18.0,2.0,36.0,1020,10.0,16,0.0,0,306
2004-07-09,18.0,2.0,37.0,1022,10.0,6,0.0,0,313
2004-07-10,20.0,4.0,36.0,1017,10.0,8,0.0,0,271
2004-07-11,23.0,8.0,43.0,1017,10.0,8,0.0,0,10
2004-07-12,21.0,3.0,36.0,1017,10.0,13,0.0,0,32
2004-07-13,21.0,1.0,32.0,1019,10.0,10,0.0,0,16
2004-07-14,24.0,6.0,32.0,1019,10.0,8,0.0,0,61
2004-07-15,26.0,9.0,39.0,1019,10.0,5,0.0,0,128
2004-07-16,28.0,11.0,40.0,1015,10.0,8,0.0,1,76
2004-07-17,26.0,13.0,56.0,1016,10.0,10,0.0,1,292
2004-07-18,26.0,6.0,29.0,1016,10.0,11,0.0,0,210
2004-07-19,24.0,5.0,31.0,1016,10.0,10,0.0,0,265
2004-07-20,23.0,7.0,35.0,1016,10.0,6,0.0,0,256
2004-07-21,26.0,8.0,33.0,1015,10.0,6,0.0,0,242
2004-07-22,27.0,7.0,31.0,1017,10.0,8,0.0,0,274
2004-07-23,29.0,8.0,28.0,1021,10.0,8,0.0,0,256
2004-07-24,30.0,8.0,27.0,1023,8.0,8,0.0,0,321
2004-07-25,29.0,5.0,24.0,1020,10.0,10,0.0,0,355
2004-07-26,27.0,5.0,27.0,1019,10.0,13,0.0,0,20
2004-07-27,26.0,5.0,29.0,1017,10.0,8,0.0,0,343
2004-07-28,26.0,5.0,26.0,1015,10.0,10,0.0,0,262
2004-07-29,24.0,7.0,32.0,1015,10.0,8,0.0,0,77
2004-07-30,27.0,11.0,39.0,1019,10.0,8,0.0,0,143
2004-07-31,28.0,10.0,36.0,1019,10.0,6,0.0,0,149
2004-08-01,28.0,9.0,30.0,1017,9.0,10,0.0,0,178
2004-08-02,28.0,9.0,33.0,1016,10.0,8,0.0,0,270
2004-08-03,26.0,8.0,31.0,1014,10.0,14,0.0,1,237
2004-08-04,24.0,9.0,41.0,1014,10.0,10,0.0,0,127
2004-08-05,23.0,9.0,42.0,1015,10.0,6,0.0,0,68
2004-08-06,26.0,7.0,33.0,1014,10.0,6,0.0,0,346
2004-08-07,27.0,9.0,33.0,1012,10.0,6,0.0,0,263
2004-08-08,26.0,13.0,47.0,1010,10.0,11,0.0,0,204
2004-08-09,21.0,14.0,70.0,1012,9.0,14,0.0,1,228
2004-08-10,20.0,11.0,63.0,1015,10.0,10,0.0,0,223
2004-08-11,21.0,11.0,52.0,1017,10.0,11,0.0,0,213
2004-08-12,24.0,12.0,50.0,1017,10.0,18,0.0,0,254
2004-08-13,22.0,7.0,40.0,1019,10.0,5,0.0,0,322
2004-08-14,26.0,7.0,34.0,1021,10.0,5,0.0,0,308
2004-08-15,26.0,8.0,33.0,1019,10.0,8,0.0,0,284
2004-08-16,22.0,9.0,41.0,1016,10.0,11,0.0,0,257
2004-08-17,21.0,14.0,68.0,1012,9.0,13,0.0,1,213
2004-08-18,23.0,13.0,57.0,1014,10.0,14,0.0,0,214
2004-08-19,22.0,12.0,58.0,1017,9.0,18,0.0,1,219
2004-08-20,20.0,6.0,45.0,1020,10.0,10,0.0,0,294
2004-08-21,19.0,4.0,41.0,1022,10.0,5,0.0,0,15
2004-08-22,22.0,9.0,43.0,1019,10.0,6,0.0,0,334
2004-08-23,27.0,12.0,45.0,1018,10.0,5,0.0,0,236
2004-08-24,27.0,9.0,36.0,1018,9.0,8,0.0,0,274
2004-08-25,26.0,3.0,27.0,1020,10.0,8,0.0,0,328
2004-08-26,23.0,3.0,28.0,1021,10.0,5,0.0,0,19
2004-08-27,24.0,6.0,33.0,1017,10.0,6,0.0,0,329
2004-08-28,24.0,5.0,30.0,1016,10.0,6,0.0,0,325
2004-08-29,23.0,9.0,39.0,1017,10.0,8,0.0,0,10
2004-08-30,24.0,8.0,38.0,1018,10.0,6,0.0,0,270
2004-08-31,23.0,4.0,33.0,1016,10.0,6,0.0,0,219
2004-09-01,22.0,4.0,29.0,1014,10.0,6,0.0,0,230
2004-09-02,22.0,8.0,40.0,1014,10.0,8,0.0,1,182
2004-09-03,20.0,14.0,74.0,1019,10.0,6,0.0,1,23
2004-09-04,23.0,16.0,68.0,1020,10.0,11,0.0,1,85
2004-09-05,24.0,14.0,54.0,1019,10.0,11,0.0,0,169
2004-09-06,21.0,8.0,45.0,1016,10.0,6,0.0,0,215
2004-09-07,24.0,13.0,56.0,1016,10.0,11,0.0,0,151
2004-09-08,26.0,16.0,60.0,1019,10.0,23,0.0,0,145
2004-09-09,26.0,15.0,56.0,1021,10.0,13,0.0,1,150
2004-09-10,23.0,12.0,50.0,1020,10.0,8,0.0,0,251
2004-09-11,22.0,8.0,42.0,1021,10.0,6,0.0,0,312
2004-09-12,23.0,6.0,36.0,1020,10.0,6,0.0,0,329
2004-09-13,21.0,5.0,37.0,1017,10.0,6,0.0,0,285
2004-09-14,19.0,6.0,41.0,1016,10.0,5,0.0,0,323
2004-09-15,19.0,6.0,45.0,1020,10.0,14,0.0,0,50
2004-09-16,19.0,4.0,44.0,1023,10.0,13,0.0,0,33
2004-09-17,19.0,3.0,35.0,1022,10.0,5,0.0,0,10
2004-09-18,21.0,4.0,37.0,1020,10.0,5,0.0,0,323
2004-09-19,22.0,4.0,34.0,1018,10.0,6,0.0,0,265
2004-09-20,22.0,9.0,47.0,1020,10.0,6,0.0,0,9
2004-09-21,23.0,7.0,40.0,1023,10.0,5,0.0,0,19
2004-09-22,22.0,2.0,29.0,1024,10.0,6,0.0,0,355
2004-09-23,22.0,1.0,25.0,1022,10.0,5,0.0,0,355
2004-09-24,22.0,1.0,27.0,1017,10.0,8,0.0,0,11
2004-09-25,18.0,4.0,42.0,1020,10.0,13,0.0,0,55
2004-09-26,18.0,2.0,38.0,1023,10.0,10,0.0,0,39
2004-09-27,20.0,6.0,42.0,1022,10.0,10,0.0,0,37
2004-09-28,19.0,5.0,40.0,1021,10.0,5,0.0,0,343
2004-09-29,19.0,1.0,31.0,1019,10.0,5,0.0,0,16
2004-09-30,20.0,1.0,32.0,1020,10.0,5,0.0,0,356
2004-10-01,20.0,3.0,34.0,1022,10.0,6,0.0,0,319
2004-10-02,20.0,3.0,34.0,1023,10.0,5,0.0,0,310
2004-10-03,21.0,4.0,35.0,1022,10.0,5,0.0,0,354
2004-10-04,21.0,4.0,36.0,1020,10.0,5,0.0,0,349
2004-10-05,20.0,5.0,39.0,1018,10.0,5,0.0,0,313
2004-10-06,20.0,5.0,42.0,1017,10.0,8,0.0,0,329
2004-10-07,20.0,7.0,49.0,1016,10.0,8,0.0,0,334
2004-10-08,19.0,8.0,48.0,1013,10.0,13,0.0,0,225
2004-10-09,17.0,9.0,63.0,1015,10.0,23,0.0,0,234
2004-10-10,13.0,7.0,66.0,1016,10.0,16,0.0,0,229
2004-10-11,14.0,8.0,66.0,1018,10.0,18,0.0,0,238
2004-10-12,13.0,6.0,62.0,1019,10.0,6,0.0,0,322
2004-10-13,11.0,1.0,49.0,1019,10.0,5,0.0,0,284
2004-10-14,13.0,2.0,47.0,1016,10.0,11,0.0,0,278
2004-10-15,16.0,3.0,46.0,1014,10.0,21,0.0,0,280
2004-10-16,16.0,4.0,48.0,1013,10.0,18,0.0,0,265
2004-10-17,13.0,6.0,59.0,1014,10.0,11,0.0,0,197
2004-10-18,12.0,7.0,69.0,1012,10.0,5,0.0,1,35
2004-10-19,16.0,14.0,85.0,1010,10.0,10,0.0,1,192
2004-10-20,18.0,15.0,81.0,1011,9.0,23,0.0,1,213
2004-10-21,17.0,13.0,82.0,1017,10.0,8,0.0,1,190
2004-10-22,16.0,11.0,76.0,1021,10.0,5,0.0,0,237
2004-10-23,17.0,11.0,78.0,1020,10.0,5,0.0,0,355
2004-10-24,16.0,9.0,70.0,1018,10.0,8,0.0,0,268
2004-10-25,12.0,12.0,91.0,1016,8.0,6,0.0,1,66
2004-10-26,11.0,5.0,68.0,1016,10.0,8,0.0,0,231
2004-10-27,10.0,8.0,90.0,1005,6.0,6,0.0,1,137
2004-10-28,11.0,8.0,81.0,1003,10.0,14,0.0,1,215
2004-10-29,9.0,6.0,81.0,1004,10.0,16,0.0,1,219
2004-10-30,9.0,6.0,84.0,1007,10.0,8,0.0,1,188
2004-10-31,10.0,7.0,86.0,1010,10.0,5,0.0,1,171
2004-11-01,10.0,6.0,78.0,1014,9.0,5,0.0,0,211
2004-11-02,9.0,4.0,75.0,1016,9.0,5,0.0,0,189
2004-11-03,9.0,7.0,89.0,1018,6.0,3,0.0,1,42
2004-11-04,12.0,10.0,90.0,1018,8.0,5,0.0,1,11
2004-11-05,14.0,9.0,77.0,1022,10.0,10,0.0,0,27
2004-11-06,14.0,7.0,68.0,1022,10.0,8,0.0,0,14
2004-11-07,12.0,4.0,66.0,1018,10.0,2,0.0,0,16
2004-11-08,9.0,3.0,72.0,1016,10.0,3,0.0,0,357
2004-11-09,9.0,3.0,69.0,1015,10.0,10,0.0,0,10
2004-11-10,9.0,2.0,60.0,1015,10.0,14,0.0,0,7
2004-11-11,8.0,1.0,61.0,1014,10.0,23,0.0,0,4
2004-11-12,9.0,1.0,58.0,1017,10.0,13,0.0,0,26
2004-11-13,7.0,1.0,62.0,1019,10.0,13,0.0,0,12
2004-11-14,7.0,-4.0,45.0,1021,10.0,18,0.0,0,46
2004-11-15,6.0,-4.0,53.0,1023,10.0,8,0.0,0,2
2004-11-16,7.0,-3.0,57.0,1028,9.0,5,0.0,0,350
2004-11-17,7.0,0.0,70.0,1029,10.0,3,0.0,0,358
2004-11-18,6.0,1.0,76.0,1027,10.0,3,0.0,0,5
2004-11-19,6.0,1.0,76.0,1026,6.0,3,0.0,0,354
2004-11-20,9.0,3.0,74.0,1025,10.0,5,0.0,0,348
2004-11-21,8.0,3.0,77.0,1025,10.0,3,0.0,0,353
2004-11-22,6.0,4.0,89.0,1027,4.0,3,0.0,0,349
2004-11-23,8.0,4.0,83.0,1026,8.0,3,0.0,0,354
2004-11-24,8.0,3.0,78.0,1025,8.0,3,0.0,0,360
2004-11-25,8.0,2.0,78.0,1026,7.0,5,0.0,0,1
2004-11-26,6.0,3.0,84.0,1028,7.0,3,0.0,0,356
2004-11-27,7.0,3.0,82.0,1025,7.0,5,0.0,0,4
2004-11-28,6.0,4.0,85.0,1021,6.0,3,0.0,0,355
2004-11-29,9.0,6.0,86.0,1016,5.0,2,0.0,1,30
2004-11-30,7.0,2.0,74.0,1010,10.0,5,0.0,0,8
2004-12-01,8.0,6.0,84.0,999,9.0,10,0.0,1,157
2004-12-02,7.0,4.0,84.0,1009,10.0,8,0.0,1,196
2004-12-03,6.0,2.0,82.0,1016,10.0,10,0.0,0,8
2004-12-04,8.0,4.0,79.0,1019,10.0,13,0.0,1,8
2004-12-05,8.0,3.0,71.0,1022,10.0,10,0.0,0,19
2004-12-06,6.0,2.0,82.0,1022,10.0,6,0.0,0,346
2004-12-07,4.0,2.0,88.0,1021,10.0,6,0.0,0,350
2004-12-08,6.0,1.0,82.0,1020,10.0,6,0.0,0,16
2004-12-09,6.0,2.0,84.0,1019,8.0,3,0.0,0,16
2004-12-10,6.0,3.0,88.0,1021,9.0,3,0.0,0,353
2004-12-11,7.0,3.0,85.0,1021,10.0,3,0.0,0,350
2004-12-12,7.0,3.0,82.0,1021,10.0,3,0.0,0,358
2004-12-13,10.0,6.0,76.0,1024,10.0,5,0.0,0,27
2004-12-14,6.0,4.0,84.0,1025,10.0,5,0.0,0,360
2004-12-15,11.0,6.0,78.0,1022,10.0,3,0.0,0,357
2004-12-16,8.0,6.0,81.0,1021,9.0,5,0.0,1,298
2004-12-17,8.0,3.0,77.0,1023,5.0,5,0.0,0,320
2004-12-18,10.0,6.0,68.0,1024,10.0,11,0.0,0,267
2004-12-19,8.0,3.0,61.0,1019,10.0,21,0.0,0,282
2004-12-20,7.0,1.0,64.0,1019,10.0,13,0.0,0,341
2004-12-21,3.0,-2.0,71.0,1022,10.0,5,0.0,0,16
2004-12-22,4.0,-3.0,62.0,1026,10.0,6,0.0,0,45
2004-12-23,6.0,-3.0,64.0,1027,10.0,5,0.0,0,349
2004-12-24,6.0,1.0,79.0,1021,10.0,5,0.0,0,346
2004-12-25,3.0,-2.0,77.0,1009,6.0,6,0.0,0,329
2004-12-26,3.0,-4.0,65.0,1008,10.0,18,0.0,0,324
2004-12-27,2.0,-7.0,53.0,1018,10.0,19,0.0,0,4
2004-12-28,2.0,-3.0,73.0,1025,10.0,6,0.0,0,169
2004-12-29,7.0,-1.0,56.0,1028,10.0,24,0.0,0,7
2004-12-30,7.0,1.0,63.0,1031,10.0,14,0.0,0,15
2004-12-31,7.0,1.0,78.0,1031,10.0,5,0.0,0,346
2005-01-01,4.0,1.0,81.0,1031,8.0,3,0.0,0,355
2005-01-02,6.0,1.0,77.0,1034,10.0,6,0.0,0,9
2005-01-03,4.0,-1.0,74.0,1035,10.0,6,0.0,0,5
2005-01-04,3.0,-1.0,80.0,1036,10.0,3,0.0,0,351
2005-01-05,3.0,-2.0,82.0,1037,9.0,3,0.0,0,359
2005-01-06,6.0,-1.0,75.0,1037,10.0,5,0.0,0,354
2005-01-07,6.0,-1.0,74.0,1035,10.0,3,0.0,0,350
2005-01-08,3.0,-3.0,73.0,1033,10.0,5,0.0,0,352
2005-01-09,3.0,-6.0,67.0,1031,10.0,3,0.0,0,357
2005-01-10,2.0,-5.0,65.0,1031,10.0,5,0.0,0,353
2005-01-11,2.0,-4.0,71.0,1031,10.0,3,0.0,0,348
2005-01-12,2.0,-3.0,72.0,1031,8.0,5,0.0,0,8
2005-01-13,6.0,1.0,74.0,1030,7.0,3,0.0,0,42
2005-01-14,7.0,3.0,77.0,1028,6.0,3,0.0,0,320
2005-01-15,6.0,2.0,83.0,1024,6.0,5,0.0,0,355
2005-01-16,6.0,1.0,76.0,1026,10.0,5,0.0,0,348
2005-01-17,4.0,-2.0,70.0,1026,10.0,5,0.0,0,354
2005-01-18,6.0,-1.0,69.0,1023,8.0,10,0.0,0,309
2005-01-19,7.0,-1.0,60.0,1026,10.0,10,0.0,0,309
2005-01-20,10.0,3.0,60.0,1029,10.0,13,0.0,0,9
2005-01-21,7.0,0.0,72.0,1026,8.0,6,0.0,0,354
2005-01-22,6.0,-3.0,61.0,1022,10.0,5,0.0,0,336
2005-01-23,4.0,-3.0,65.0,1019,10.0,5,0.0,0,360
2005-01-24,6.0,-4.0,56.0,1018,10.0,11,0.0,0,18
2005-01-25,3.0,-7.0,51.0,1020,10.0,23,0.0,0,349
2005-01-26,-1.0,-9.0,52.0,1014,10.0,21,0.0,0,355
2005-01-27,-3.0,-13.0,49.0,1013,10.0,14,0.0,0,16
2005-01-28,-1.0,-8.0,58.0,1016,10.0,10,0.0,0,28
2005-01-29,5.0,-4.0,56.0,1016,10.0,13,0.0,0,350
2005-01-30,4.0,-8.0,46.0,1023,10.0,14,0.0,0,29
2005-01-31,3.0,-7.0,50.0,1028,10.0,8,0.0,0,346
2005-02-01,4.0,-4.0,59.0,1027,10.0,6,0.0,0,359
2005-02-02,7.0,-3.0,53.0,1028,10.0,11,0.0,0,21
2005-02-03,7.0,-4.0,44.0,1026,10.0,11,0.0,0,32
2005-02-04,3.0,-2.0,65.0,1024,10.0,10,0.0,0,357
2005-02-05,4.0,-1.0,70.0,1020,9.0,6,0.0,0,319
2005-02-06,3.0,2.0,87.0,1015,8.0,5,0.0,1,349
2005-02-07,4.0,2.0,88.0,1015,9.0,6,0.0,1,11
2005-02-08,7.0,3.0,78.0,1020,10.0,10,0.0,0,351
2005-02-09,6.0,1.0,74.0,1029,10.0,10,0.0,0,358
2005-02-10,6.0,0.0,73.0,1036,10.0,6,0.0,0,330
2005-02-11,6.0,-1.0,69.0,1037,9.0,5,0.0,0,360
2005-02-12,8.0,1.0,67.0,1030,10.0,3,0.0,0,323
2005-02-13,8.0,1.0,62.0,1022,8.0,8,0.0,0,269
2005-02-14,7.0,-3.0,48.0,1020,10.0,34,0.0,0,4
2005-02-15,6.0,-3.0,55.0,1014,10.0,18,0.0,0,360
2005-02-16,4.0,-7.0,49.0,1016,10.0,19,0.0,0,357
2005-02-17,3.0,-7.0,50.0,1018,10.0,18,0.0,0,360
